Module	Section	Sample Name	Source
FastQC	all_sections	78_R2_001	/home/shared/8TB_HDD_02/shedurkin/project-cod-temperature/output/05-cod-RNAseq-trimming/raw-fastqc/78_R2_001_fastqc.zip
FastQC	all_sections	120_R2_001	/home/shared/8TB_HDD_02/shedurkin/project-cod-temperature/output/05-cod-RNAseq-trimming/raw-fastqc/120_R2_001_fastqc.zip
FastQC	all_sections	83_R1_001	/home/shared/8TB_HDD_02/shedurkin/project-cod-temperature/output/05-cod-RNAseq-trimming/raw-fastqc/83_R1_001_fastqc.zip
FastQC	all_sections	117_R2_001	/home/shared/8TB_HDD_02/shedurkin/project-cod-temperature/output/05-cod-RNAseq-trimming/raw-fastqc/117_R2_001_fastqc.zip
FastQC	all_sections	47_R2_001	/home/shared/8TB_HDD_02/shedurkin/project-cod-temperature/output/05-cod-RNAseq-trimming/raw-fastqc/47_R2_001_fastqc.zip
FastQC	all_sections	128_R1_001	/home/shared/8TB_HDD_02/shedurkin/project-cod-temperature/output/05-cod-RNAseq-trimming/raw-fastqc/128_R1_001_fastqc.zip
FastQC	all_sections	58_R2_001	/home/shared/8TB_HDD_02/shedurkin/project-cod-temperature/output/05-cod-RNAseq-trimming/raw-fastqc/58_R2_001_fastqc.zip
FastQC	all_sections	149_R2_001	/home/shared/8TB_HDD_02/shedurkin/project-cod-temperature/output/05-cod-RNAseq-trimming/raw-fastqc/149_R2_001_fastqc.zip
FastQC	all_sections	13_R1_001	/home/shared/8TB_HDD_02/shedurkin/project-cod-temperature/output/05-cod-RNAseq-trimming/raw-fastqc/13_R1_001_fastqc.zip
FastQC	all_sections	99_R1_001	/home/shared/8TB_HDD_02/shedurkin/project-cod-temperature/output/05-cod-RNAseq-trimming/raw-fastqc/99_R1_001_fastqc.zip
FastQC	all_sections	RESUB-36_R2_001	/home/shared/8TB_HDD_02/shedurkin/project-cod-temperature/output/05-cod-RNAseq-trimming/raw-fastqc/RESUB-36_R2_001_fastqc.zip
FastQC	all_sections	11_R2_001	/home/shared/8TB_HDD_02/shedurkin/project-cod-temperature/output/05-cod-RNAseq-trimming/raw-fastqc/11_R2_001_fastqc.zip
FastQC	all_sections	59_R2_001	/home/shared/8TB_HDD_02/shedurkin/project-cod-temperature/output/05-cod-RNAseq-trimming/raw-fastqc/59_R2_001_fastqc.zip
FastQC	all_sections	5_R2_001	/home/shared/8TB_HDD_02/shedurkin/project-cod-temperature/output/05-cod-RNAseq-trimming/raw-fastqc/5_R2_001_fastqc.zip
FastQC	all_sections	12_R1_001	/home/shared/8TB_HDD_02/shedurkin/project-cod-temperature/output/05-cod-RNAseq-trimming/raw-fastqc/12_R1_001_fastqc.zip
