Module	Section	Sample Name	Source
FastQC	all_sections	90.flexbar_trim.R_2	/home/shared/8TB_HDD_02/shedurkin/project-cod-temperature/output/05-cod-RNAseq-trimming/trimmed-fastqc/90.flexbar_trim.R_2_fastqc.zip
FastQC	all_sections	149.flexbar_trim.R_2	/home/shared/8TB_HDD_02/shedurkin/project-cod-temperature/output/05-cod-RNAseq-trimming/trimmed-fastqc/149.flexbar_trim.R_2_fastqc.zip
FastQC	all_sections	150.flexbar_trim.R_1	/home/shared/8TB_HDD_02/shedurkin/project-cod-temperature/output/05-cod-RNAseq-trimming/trimmed-fastqc/150.flexbar_trim.R_1_fastqc.zip
FastQC	all_sections	11.flexbar_trim.R_1	/home/shared/8TB_HDD_02/shedurkin/project-cod-temperature/output/05-cod-RNAseq-trimming/trimmed-fastqc/11.flexbar_trim.R_1_fastqc.zip
FastQC	all_sections	RESUB-36.flexbar_trim.R_2	/home/shared/8TB_HDD_02/shedurkin/project-cod-temperature/output/05-cod-RNAseq-trimming/trimmed-fastqc/RESUB-36.flexbar_trim.R_2_fastqc.zip
FastQC	all_sections	120.flexbar_trim.R_1	/home/shared/8TB_HDD_02/shedurkin/project-cod-temperature/output/05-cod-RNAseq-trimming/trimmed-fastqc/120.flexbar_trim.R_1_fastqc.zip
FastQC	all_sections	1.flexbar_trim.R_2	/home/shared/8TB_HDD_02/shedurkin/project-cod-temperature/output/05-cod-RNAseq-trimming/trimmed-fastqc/1.flexbar_trim.R_2_fastqc.zip
FastQC	all_sections	37.flexbar_trim.R_1	/home/shared/8TB_HDD_02/shedurkin/project-cod-temperature/output/05-cod-RNAseq-trimming/trimmed-fastqc/37.flexbar_trim.R_1_fastqc.zip
FastQC	all_sections	RESUB-156.flexbar_trim.R_1	/home/shared/8TB_HDD_02/shedurkin/project-cod-temperature/output/05-cod-RNAseq-trimming/trimmed-fastqc/RESUB-156.flexbar_trim.R_1_fastqc.zip
FastQC	all_sections	138.flexbar_trim.R_1	/home/shared/8TB_HDD_02/shedurkin/project-cod-temperature/output/05-cod-RNAseq-trimming/trimmed-fastqc/138.flexbar_trim.R_1_fastqc.zip
FastQC	all_sections	129.flexbar_trim.R_2	/home/shared/8TB_HDD_02/shedurkin/project-cod-temperature/output/05-cod-RNAseq-trimming/trimmed-fastqc/129.flexbar_trim.R_2_fastqc.zip
FastQC	all_sections	21.flexbar_trim.R_1	/home/shared/8TB_HDD_02/shedurkin/project-cod-temperature/output/05-cod-RNAseq-trimming/trimmed-fastqc/21.flexbar_trim.R_1_fastqc.zip
FastQC	all_sections	137.flexbar_trim.R_2	/home/shared/8TB_HDD_02/shedurkin/project-cod-temperature/output/05-cod-RNAseq-trimming/trimmed-fastqc/137.flexbar_trim.R_2_fastqc.zip
FastQC	all_sections	21.flexbar_trim.R_2	/home/shared/8TB_HDD_02/shedurkin/project-cod-temperature/output/05-cod-RNAseq-trimming/trimmed-fastqc/21.flexbar_trim.R_2_fastqc.zip
